Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,0.865730,0.866280,0.861650,0.865700,0.865700,0
2018-10-16,0.863310,0.864520,0.860580,0.863300,0.863300,0
2018-10-17,0.863830,0.867920,0.863400,0.863910,0.863910,0
2018-10-18,0.869500,0.870860,0.867500,0.869500,0.869500,0
2018-10-19,0.872970,0.874610,0.868470,0.872600,0.872600,0
2018-10-22,0.868720,0.872420,0.865651,0.868850,0.868850,0
2018-10-23,0.872240,0.874130,0.870340,0.872000,0.872000,0
2018-10-24,0.871640,0.878420,0.871400,0.871600,0.871600,0
2018-10-25,0.877290,0.879800,0.874830,0.877250,0.877250,0
2018-10-26,0.879110,0.882130,0.877310,0.878900,0.878900,0
2018-10-29,0.877290,0.879940,0.875980,0.877290,0.877290,0
2018-10-30,0.879110,0.881260,0.878190,0.879030,0.879030,0
2018-10-31,0.881380,0.884040,0.880270,0.881340,0.881340,0
2018-11-01,0.883870,0.883880,0.876180,0.883650,0.883650,0
2018-11-02,0.876980,0.879070,0.872950,0.876940,0.876940,0
2018-11-05,0.877420,0.880650,0.876700,0.877380,0.877380,0
2018-11-06,0.876530,0.877710,0.874270,0.876200,0.876200,0
2018-11-07,0.874050,0.877150,0.869570,0.874240,0.874240,0
2018-11-08,0.874640,0.876800,0.873800,0.874580,0.874580,0
2018-11-09,0.879620,0.883000,0.879570,0.879630,0.879630,0
2018-11-12,0.883020,0.889550,0.882400,0.883000,0.883000,0
2018-11-13,0.890940,0.891010,0.885590,0.890200,0.890200,0
2018-11-14,0.883700,0.887720,0.881860,0.884080,0.884080,0
2018-11-15,0.883890,0.886920,0.880970,0.884030,0.884030,0
2018-11-16,0.882980,0.883190,0.876100,0.883010,0.883010,0
2018-11-19,0.876260,0.877620,0.872380,0.876120,0.876120,0
2018-11-20,0.873000,0.878190,0.871630,0.872980,0.872980,0
2018-11-21,0.879300,0.879790,0.875500,0.879320,0.879320,0
2018-11-22,0.878050,0.878250,0.874580,0.878090,0.878090,0
2018-11-23,0.876990,0.882430,0.875700,0.876950,0.876950,0
2018-11-26,0.881920,0.882820,0.878460,0.882040,0.882040,0
2018-11-27,0.882280,0.886570,0.881450,0.882350,0.882350,0
2018-11-28,0.885180,0.887490,0.884330,0.885050,0.885050,0
2018-11-29,0.879770,0.881090,0.877080,0.879620,0.879620,0
2018-11-30,0.877750,0.883800,0.877100,0.877750,0.877750,0
2018-12-03,0.881690,0.883260,0.878730,0.881660,0.881660,0
2018-12-04,0.880600,0.881580,0.875830,0.880680,0.880680,0
2018-12-05,0.881550,0.883780,0.880260,0.881610,0.881610,0
2018-12-06,0.881270,0.883130,0.876250,0.881130,0.881130,0
2018-12-07,0.878980,0.880180,0.876370,0.879140,0.879140,0
2018-12-10,0.876900,0.880100,0.873700,0.877120,0.877120,0
2018-12-11,0.880670,0.884360,0.877240,0.880550,0.880550,0
2018-12-12,0.883170,0.883690,0.878700,0.883150,0.883150,0
2018-12-13,0.879300,0.882330,0.877770,0.879240,0.879240,0
2018-12-14,0.880030,0.887250,0.879800,0.880000,0.880000,0
2018-12-17,0.884430,0.884580,0.880750,0.884490,0.884490,0
2018-12-18,0.881060,0.881940,0.876962,0.881070,0.881070,0
2018-12-19,0.879070,0.879070,0.874150,0.879090,0.879090,0
2018-12-20,0.878130,0.878860,0.870710,0.878000,0.878000,0
2018-12-21,0.872770,0.878130,0.871500,0.872840,0.872840,0
2018-12-24,0.879350,0.879350,0.874250,0.879290,0.879290,0
2018-12-25,0.876800,0.879500,0.875500,0.876890,0.876890,0
2018-12-26,0.876160,0.879030,0.875700,0.876000,0.876000,0
2018-12-27,0.880000,0.880350,0.874560,0.880180,0.880180,0
2018-12-28,0.874820,0.874820,0.871600,0.874810,0.874810,0
2018-12-31,0.874210,0.875480,0.872150,0.874130,0.874130,0
2019-01-01,0.870000,0.872220,0.865800,0.870090,0.870090,0
2019-01-02,0.872500,0.881390,0.869792,0.872470,0.872470,0
2019-01-03,0.883600,0.883600,0.876490,0.883540,0.883540,0
2019-01-04,0.877890,0.881200,0.875830,0.877880,0.877880,0
2019-01-07,0.876200,0.876790,0.871500,0.876390,0.876390,0
2019-01-08,0.871130,0.875300,0.870600,0.871100,0.871100,0
2019-01-09,0.872810,0.874000,0.866540,0.872900,0.872900,0
2019-01-10,0.865410,0.868700,0.864200,0.865430,0.865430,0
2019-01-11,0.868420,0.872620,0.866626,0.868800,0.868800,0
